city,state_id,state_name,lat,lng
Hudson,NC,North Carolina,35.8478,-81.4867
Shingle Springs,CA,California,38.6665,-120.9371
Franklinton,LA,Louisiana,30.848,-90.1459
North El Monte,CA,California,34.1029,-118.0239
Clifton Knolls-Mill Creek,NY,New York,42.8482,-73.8082
Emmetsburg,IA,Iowa,43.1145,-94.68
Odenville,AL,Alabama,33.6978,-86.4228
Marlboro Meadows,MD,Maryland,38.8374,-76.7144
Park Hill,OK,Oklahoma,35.8417,-94.9734
Cedar Springs,MI,Michigan,43.2201,-85.5535
Merchantville,NJ,New Jersey,39.9502,-75.0504
Midland,NC,North Carolina,35.245,-80.5212
Village Green,NY,New York,43.1323,-76.3108
Ahtanum,WA,Washington,46.5573,-120.6138
Upland,IN,Indiana,40.4639,-85.5008
Candelaria Arenas,PR,Puerto Rico,18.4175,-66.2203
Rockfish,NC,North Carolina,34.9902,-79.0694
Austin,AR,Arkansas,35.0058,-91.9895
Mountain View Acres,CA,California,34.4976,-117.3472
Meiners Oaks,CA,California,34.4553,-119.2702
Glen Raven,NC,North Carolina,36.1246,-79.4649
Zelienople,PA,Pennsylvania,40.7886,-80.1428
Louisburg,NC,North Carolina,36.0986,-78.3009
Mountain Green,UT,Utah,41.1476,-111.7901
Emerald Isle,NC,North Carolina,34.6648,-77.0292
Clifton,AZ,Arizona,33.0249,-109.2883
San Manuel,AZ,Arizona,32.6091,-110.6415
Millvale,PA,Pennsylvania,40.4818,-79.9736
Taylor Lake Village,TX,Texas,29.5765,-95.0561
Hebron,IN,Indiana,41.3247,-87.2018
Northlake,SC,South Carolina,34.5691,-82.6838
Coleytown,CT,Connecticut,41.1742,-73.3461
Turners Falls,MA,Massachusetts,42.5975,-72.5573
Priceville,AL,Alabama,34.5246,-86.8856
Farmerville,LA,Louisiana,32.7752,-92.4013
Stanley,WI,Wisconsin,44.9597,-90.9423
Dell Rapids,SD,South Dakota,43.8244,-96.7143
Ashburn,GA,Georgia,31.7096,-83.6528
Lowell,NC,North Carolina,35.2688,-81.1013
Chattanooga Valley,GA,Georgia,34.9241,-85.3431
South Toms River,NJ,New Jersey,39.9418,-74.2087
Hidden Meadows,CA,California,33.2237,-117.1198
Ravenswood,WV,West Virginia,38.9561,-81.7619
Lake Land'Or,VA,Virginia,38.017,-77.5593
Port Vue,PA,Pennsylvania,40.337,-79.872
Nowata,OK,Oklahoma,36.6985,-95.6372
Stanford,KY,Kentucky,37.5331,-84.6602
Manti,UT,Utah,39.2668,-111.6351
Chandler,IN,Indiana,38.0373,-87.3739
Ocilla,GA,Georgia,31.5987,-83.2498
Northfield,OH,Ohio,41.3427,-81.5285
Sweeny,TX,Texas,29.0463,-95.6988
Inman,SC,South Carolina,35.0463,-82.0897
Ballinger,TX,Texas,31.7394,-99.9559
Milan,NM,New Mexico,35.1949,-107.8946
Trappe,PA,Pennsylvania,40.1991,-75.4754
Newport,MN,Minnesota,44.8743,-92.9975
Lloyd Harbor,NY,New York,40.9138,-73.4616
Waukon,IA,Iowa,43.2686,-91.4785
Mount Repose,OH,Ohio,39.1907,-84.2197
Muttontown,NY,New York,40.8254,-73.5363
Port Monmouth,NJ,New Jersey,40.4338,-74.1009
Watergate,FL,Florida,26.3359,-80.2125
Harrington,DE,Delaware,38.9243,-75.5707
Kelseyville,CA,California,38.9704,-122.8328
Fairbury,NE,Nebraska,40.1448,-97.1764
Spencerport,NY,New York,43.1882,-77.8067
SUNY Oswego,NY,New York,43.4515,-76.5439
Paulding,OH,Ohio,41.1424,-84.5824
Oglesby,IL,Illinois,41.2932,-89.071
Lake of the Woods,AZ,Arizona,34.1547,-109.9936
Melrose,MN,Minnesota,45.6757,-94.8128
Vandenberg AFB,CA,California,34.7477,-120.519
Blythewood,SC,South Carolina,34.2121,-80.9921
Mono Vista,CA,California,38.0123,-120.2697
Columbus,TX,Texas,29.7056,-96.5571
Gaylord,MI,Michigan,45.0208,-84.6809
Ranlo,NC,North Carolina,35.2889,-81.1294
Breñas,PR,Puerto Rico,18.4734,-66.3346
Cayuga Heights,NY,New York,42.468,-76.4876
Estacada,OR,Oregon,45.2986,-122.3337
Bagdad,FL,Florida,30.5824,-87.0447
Strathmore,CA,California,36.1461,-119.0644
French Camp,CA,California,37.8803,-121.2803
Wrightsville,GA,Georgia,32.727,-82.7191
Glenwood Landing,NY,New York,40.8295,-73.6378
Level Park-Oak Park,MI,Michigan,42.3642,-85.2664
Harvey,MI,Michigan,46.4832,-87.3569
Oakwood,OH,Ohio,41.3669,-81.5036
Ainaloa,HI,Hawaii,19.5215,-154.9944
